CLAVE,NOM_MUN,Fecha,SEXO,POB_TOTAL,POB_00_04,POB_05_09,POB_010_014,POB_015_019,POB_20_24,POB_25_29,POB_30_34,POB_35_39,POB_40_44,POB_45_49,POB_50_54,POB_55_59,POB_60_64,POB_65_69,POB_70_74,POB_75_79,POB_80_84,POB_85_mm
15001,Acambay de Ruíz Castañeda,2015,HOMBRES,32900,3969,3740,3745,3486,2937,2361,2025,1872,1838,1620,1318,1019,815,705,571,391,255,233
15001,Acambay de Ruíz Castañeda,2015,MUJERES,34717,3503,3811,3888,3530,3117,2736,2466,2193,1945,1640,1342,1058,877,783,653,490,361,324
15001,Acambay de Ruíz Castañeda,2016,HOMBRES,33011,3882,3702,3713,3473,2949,2433,2080,1853,1820,1633,1357,1068,852,714,583,404,259,236
15001,Acambay de Ruíz Castañeda,2016,MUJERES,34940,3449,3753,3818,3523,3142,2801,2508,2209,1990,1695,1395,1110,912,784,659,499,360,333
15001,Acambay de Ruíz Castañeda,2017,HOMBRES,33090,3789,3652,3690,3456,2949,2500,2134,1845,1792,1643,1393,1116,889,725,594,418,265,240
15001,Acambay de Ruíz Castañeda,2017,MUJERES,35131,3388,3682,3752,3518,3158,2864,2548,2231,2025,1749,1447,1163,946,786,665,507,360,342
15001,Acambay de Ruíz Castañeda,2018,HOMBRES,33163,3701,3588,3678,3431,2947,2563,2186,1851,1758,1648,1428,1166,927,739,604,432,272,244
15001,Acambay de Ruíz Castañeda,2018,MUJERES,35319,3331,3603,3695,3503,3174,2926,2587,2259,2052,1803,1500,1218,981,792,669,515,360,351
15001,Acambay de Ruíz Castañeda,2019,HOMBRES,33228,3617,3521,3672,3401,2949,2616,2233,1869,1722,1649,1460,1214,964,758,612,446,278,247
15001,Acambay de Ruíz Castañeda,2019,MUJERES,35509,3281,3521,3645,3482,3196,2982,2626,2293,2075,1855,1552,1272,1014,801,671,523,360,360
15001,Acambay de Ruíz Castañeda,2020,HOMBRES,33149,3557,3444,3646,3348,2949,2658,2276,1892,1683,1635,1483,1253,989,766,606,448,277,239
15001,Acambay de Ruíz Castañeda,2020,MUJERES,35600,3247,3431,3580,3441,3223,3031,2667,2329,2093,1896,1601,1322,1039,804,662,522,354,358
15001,Acambay de Ruíz Castañeda,2021,HOMBRES,33334,3405,3390,3619,3358,3057,2748,2356,1967,1758,1654,1475,1252,982,750,592,445,278,248
15001,Acambay de Ruíz Castañeda,2021,MUJERES,35559,3343,3361,3565,3443,3196,2990,2686,2333,1993,1856,1619,1337,1073,851,673,527,360,353
15001,Acambay de Ruíz Castañeda,2022,HOMBRES,33440,3369,3337,3584,3365,3096,2769,2410,2020,1759,1629,1475,1259,1002,771,599,453,286,257
15001,Acambay de Ruíz Castañeda,2022,MUJERES,35708,3309,3307,3528,3453,3234,3005,2734,2364,1991,1852,1638,1354,1098,881,686,538,371,365
15001,Acambay de Ruíz Castañeda,2023,HOMBRES,33630,3326,3296,3539,3380,3127,2791,2463,2076,1779,1605,1477,1272,1029,803,620,470,302,275
15001,Acambay de Ruíz Castañeda,2023,MUJERES,35906,3265,3269,3480,3469,3266,3021,2781,2396,1996,1844,1658,1374,1129,917,710,556,389,386
15001,Acambay de Ruíz Castañeda,2024,HOMBRES,33801,3271,3269,3484,3397,3147,2816,2508,2129,1811,1580,1475,1282,1054,835,644,487,318,294
15001,Acambay de Ruíz Castañeda,2024,MUJERES,36086,3213,3242,3426,3486,3286,3043,2822,2427,2006,1831,1674,1391,1158,952,739,574,408,408
15001,Acambay de Ruíz Castañeda,2025,HOMBRES,33950,3215,3240,3427,3411,3161,2844,2542,2178,1853,1558,1466,1289,1076,865,672,503,335,315
15001,Acambay de Ruíz Castañeda,2025,MUJERES,36246,3158,3216,3370,3499,3298,3072,2854,2459,2017,1816,1684,1408,1184,987,773,591,428,432
15002,Acolman,2015,HOMBRES,77323,7796,7663,7956,7497,7017,6414,5795,5636,5533,4504,3533,2717,1886,1250,877,595,359,295
15002,Acolman,2015,MUJERES,79685,6715,7137,7471,7497,7248,6846,6870,6811,6245,4866,3630,2680,1916,1375,1006,661,393,318
15002,Acolman,2016,HOMBRES,79488,7438,7578,7943,7725,7366,6848,6123,5709,5684,4786,3794,2907,2018,1326,937,626,371,309
15002,Acolman,2016,MUJERES,81114,6545,7103,7535,7655,7352,6915,6825,6762,6422,5157,3887,2888,2079,1465,1068,698,415,343
15002,Acolman,2017,HOMBRES,81638,7077,7461,7944,7947,7693,7279,6448,5816,5804,5073,4060,3104,2157,1410,998,658,384,325
15002,Acolman,2017,MUJERES,82488,6362,7045,7605,7805,7430,6977,6768,6726,6565,5458,4152,3106,2252,1564,1130,736,438,369
15002,Acolman,2018,HOMBRES,83837,6731,7318,7967,8159,8023,7703,6765,5964,5905,5363,4334,3308,2300,1504,1062,691,399,341
15002,Acolman,2018,MUJERES,83879,6187,6964,7690,7943,7508,7029,6704,6706,6684,5768,4425,3335,2435,1674,1194,775,462,396
15002,Acolman,2019,HOMBRES,86057,6405,7158,7997,8349,8369,8108,7068,6149,5997,5650,4615,3515,2446,1613,1125,724,414,355
15002,Acolman,2019,MUJERES,85276,6022,6868,7782,8057,7596,7060,6635,6698,6784,6080,4709,3572,2625,1801,1257,817,488,425
15002,Acolman,2020,HOMBRES,88039,6162,6994,7985,8480,8709,8464,7346,6353,6076,5913,4895,3699,2567,1716,1167,740,417,356
15002,Acolman,2020,MUJERES,86615,5926,6765,7838,8121,7698,7080,6577,6696,6867,6382,5010,3810,2811,1933,1304,846,507,444
15002,Acolman,2021,HOMBRES,88202,6264,7083,8135,8345,8626,8053,7381,6658,6119,5922,4851,3721,2588,1732,1139,761,454,370
15002,Acolman,2021,MUJERES,88986,5957,6694,7813,8329,7987,7714,6984,6837,6964,6503,5243,3942,2914,1990,1317,855,496,447
15002,Acolman,2022,HOMBRES,89663,6325,7112,8181,8395,8722,8159,7652,6959,6230,5940,4933,3804,2665,1782,1150,787,476,391
15002,Acolman,2022,MUJERES,90451,6015,6721,7844,8377,8093,7805,7179,7019,7085,6594,5385,4050,3010,2062,1338,887,520,467
15002,Acolman,2023,HOMBRES,91362,6369,7171,8200,8466,8798,8270,7928,7280,6411,5963,5029,3906,2765,1855,1185,829,511,426
15002,Acolman,2023,MUJERES,92049,6056,6775,7851,8440,8182,7902,7377,7210,7238,6672,5535,4170,3124,2151,1381,932,553,500
15002,Acolman,2024,HOMBRES,93053,6393,7256,8199,8547,8849,8392,8184,7598,6641,5980,5110,4001,2863,1928,1229,872,548,463
15002,Acolman,2024,MUJERES,93631,6079,6858,7840,8503,8245,8016,7565,7404,7411,6732,5674,4289,3235,2240,1434,979,590,537
15002,Acolman,2025,HOMBRES,94733,6414,7346,8195,8620,8882,8529,8409,7916,6914,6007,5169,4092,2954,1999,1280,915,588,504
15002,Acolman,2025,MUJERES,95194,6098,6944,7828,8560,8287,8150,7732,7608,7599,6788,5797,4408,3342,2328,1495,1026,628,576
15003,Aculco,2015,HOMBRES,24731,2565,2670,2728,2603,2335,1978,1704,1503,1353,1130,985,867,696,537,415,299,193,170
15003,Aculco,2015,MUJERES,25407,2674,2622,2661,2464,2241,2112,1934,1665,1464,1254,1079,869,657,517,430,331,229,204
15003,Aculco,2016,HOMBRES,24718,2529,2629,2682,2578,2326,2012,1735,1494,1360,1153,1004,881,712,542,417,296,196,172
15003,Aculco,2016,MUJERES,25434,2599,2574,2614,2462,2240,2117,1952,1689,1497,1279,1097,895,685,525,429,330,236,214
15003,Aculco,2017,HOMBRES,24689,2490,2582,2643,2555,2308,2042,1765,1494,1359,1175,1021,894,727,548,418,293,200,175
15003,Aculco,2017,MUJERES,25441,2522,2517,2572,2460,2233,2121,1968,1717,1523,1304,1112,921,714,534,428,328,244,223
15003,Aculco,2018,HOMBRES,24647,2450,2526,2612,2523,2289,2067,1793,1505,1354,1195,1036,906,742,557,419,291,204,178
15003,Aculco,2018,MUJERES,25452,2450,2457,2536,2455,2226,2122,1984,1751,1544,1327,1127,946,743,546,425,327,253,233
15003,Aculco,2019,HOMBRES,24597,2416,2466,2586,2488,2274,2084,1817,1526,1347,1211,1050,915,755,569,418,288,208,179
15003,Aculco,2019,MUJERES,25455,2384,2394,2501,2441,2224,2119,1999,1789,1561,1348,1140,970,772,560,422,325,262,244
15003,Aculco,2020,HOMBRES,24441,2395,2402,2549,2436,2257,2090,1837,1552,1340,1218,1055,914,757,574,407,277,207,174
15003,Aculco,2020,MUJERES,25392,2329,2326,2460,2415,2224,2110,2015,1830,1576,1362,1149,988,794,571,411,318,267,247
15003,Aculco,2021,HOMBRES,24288,2360,2323,2511,2454,2248,2079,1902,1612,1315,1190,1056,921,749,547,370,274,206,171
15003,Aculco,2021,MUJERES,25267,2273,2277,2422,2368,2261,2132,1995,1801,1562,1364,1150,985,811,607,438,317,262,242
15003,Aculco,2022,HOMBRES,24188,2312,2264,2468,2440,2258,2079,1932,1642,1307,1167,1052,923,758,557,371,277,207,174
15003,Aculco,2022,MUJERES,25173,2225,2219,2376,2353,2275,2133,2011,1804,1553,1357,1161,995,823,620,441,320,263,244
15003,Aculco,2023,HOMBRES,24143,2258,2216,2417,2434,2263,2080,1962,1674,1311,1145,1051,929,772,573,379,284,213,182
15003,Aculco,2023,MUJERES,25112,2170,2171,2324,2344,2283,2135,2026,1809,1549,1347,1173,1006,840,638,451,327,268,251
15003,Aculco,2024,HOMBRES,24087,2199,2177,2359,2429,2260,2083,1985,1703,1325,1122,1046,934,785,589,389,292,220,190
15003,Aculco,2024,MUJERES,25036,2112,2134,2267,2333,2283,2140,2036,1812,1548,1333,1182,1017,854,654,464,334,274,259
15003,Aculco,2025,HOMBRES,24014,2139,2137,2303,2423,2253,2089,1998,1729,1345,1102,1036,936,796,603,402,298,226,199
15003,Aculco,2025,MUJERES,24951,2054,2097,2212,2320,2278,2150,2040,1816,1550,1318,1186,1027,867,670,480,340,279,267
15004,Almoloya de Alquisiras,2015,HOMBRES,7343,853,841,885,829,633,467,415,396,391,340,300,269,215,165,131,94,65,54
15004,Almoloya de Alquisiras,2015,MUJERES,7866,840,794,846,784,704,627,552,466,415,406,370,276,199,160,134,109,95,89
15004,Almoloya de Alquisiras,2016,HOMBRES,7367,838,833,871,817,640,487,424,391,390,346,308,278,223,167,133,96,67,58
15004,Almoloya de Alquisiras,2016,MUJERES,7928,821,786,826,786,712,637,560,475,428,411,376,291,212,165,140,114,98,90
