variable,mutual_information
arbustivo,0.45379587051533865
herbaceo,0.37252448708979014
duracion_hhmm,0.20614123580193278
renuevo,0.10720910489791313
pob_total,0.09667455694325966
nombre_municipio,0.08151718297051583
TSOIL6,0.07183450429418636
T2M_MAX,0.049591357874791964
TSOIL1,0.04876778755397004
TSOIL3,0.04872299090663157
RH2M,0.048720839804057725
T10M_MAX,0.04604027443526504
fecha_inicio_year,0.045669845557051
TS_MAX,0.0433823747003923
TSURF,0.04293227412110623
ALLSKY_SFC_SW_UP,0.04266284117783514
TSOIL5,0.04264776629763434
T10M_MIN,0.04173914025332981
fecha_termino_year,0.04150891779741994
anio,0.04086116630941117
CLRSKY_SFC_LW_UP,0.040746269034524385
CDD18_3,0.04058405260233777
TSOIL4,0.04023581345725091
hora_llegada,0.04021868624135494
T10M,0.04006454234435819
T2M_MIN,0.039597256544619874
CDD0,0.038439364567342205
T2M,0.03774285409414779
TS,0.03763935382566097
CLRSKY_SFC_PAR_TOT,0.03728834975355011
U50M,0.037235806683372674
TS_MIN,0.03645772982241802
ALLSKY_SFC_LW_UP,0.03624074830939539
PBLTOP,0.03622288170025967
RHOA,0.035695872824971886
PS,0.034976907334736795
TSOIL2,0.03483973923598338
T2MWET,0.034355249171823754
EVLAND,0.03425984496724732
TO3,0.03419761892581863
ALLSKY_SFC_SW_DWN,0.03386340632539642
TOA_SW_DWN,0.033447111073166225
CLRSKY_SFC_SW_DIRH,0.03341804504841739
latitud,0.033370605494340344
CLRSKY_SFC_SW_UP,0.0333391793181943
TS_ADJ,0.033227241341291514
PSH,0.03210010683375564
EVPTRNS,0.0319797444107357
HDD18_3,0.03187349136908968
ALLSKY_SFC_SW_DIRH,0.031365359899861334
T2M_RANGE,0.03124407298825793
CLOUD_AMT,0.030906199287924485
ALLSKY_SFC_LW_DWN,0.0307034193824387
U10M,0.030591168801509028
AOD_55,0.03037727887135344
CLOUD_OD,0.030074566777723577
longitud,0.02982812256849221
CLOUD_AMT_NIGHT,0.029622370247482266
GWETTOP,0.029194724020677576
CLRSKY_SFC_LW_DWN,0.028945668952200965
ALLSKY_SFC_UV_INDEX,0.028764129974430563
TS_RANGE,0.028508268543093296
DISPH,0.028241693611165353
WS50M_MAX,0.027931417344862375
QV2M,0.027533531899345265
CLRSKY_SFC_PAR_DIRH,0.027410874065882496
WS2M,0.027272245289172936
SLP,0.02713698422659938
V50M,0.027105941929477684
MIDDAY_INSOL,0.02701808601114264
TOA_SW_DNI,0.02691418713718674
ALLSKY_SFC_PAR_DIRH,0.0268254122414342
WD10M,0.02629517271319748
WS50M_RANGE,0.02606084496811656
regimen_del_fuego,0.02597979413023602
WD50M,0.02592910374766544
ORIGINAL_ALLSKY_SFC_SW_DIRH,0.02589453554012744
T10M_RANGE,0.025892475679177407
V10M,0.025801179006648578
CLOUD_AMT_DAY,0.02536461999122941
TQV,0.025267930448291898
ALLSKY_SFC_PAR_DIFF,0.025259985059741696
WS2M_MAX,0.02454811003589974
Z0M,0.024391613658877098
CLRSKY_SFC_SW_DWN,0.024368449905671108
WS10M,0.024262228061625812
PW,0.024148671110941766
ALLSKY_SFC_SW_DNI,0.023893210392089026
causa,0.023744555185214677
WS10M_RANGE,0.023722755439499643
V2M,0.02358676783316338
TROPPB,0.023282648823146568
WS50M,0.023042339653162047
GWETROOT,0.022840094888432638
ORIGINAL_ALLSKY_SFC_SW_DIFF,0.022583548630627837
CLRSKY_SFC_SW_DIFF,0.021883779529663805
WS2M_RANGE,0.021879830415067136
ALLSKY_KT,0.021838607227674833
GWETPROF,0.02179949929311853
AOD_55_ADJ,0.021281229762610154
ALLSKY_NKT,0.02081081876530777
causa_especifica,0.020719907082245713
WS10M_MAX,0.02071464299438386
ALLSKY_SFC_PAR_TOT,0.02058673702511471
WD2M,0.02042383310278484
WS10M_MIN,0.020144002395100724
CLRSKY_SFC_PAR_DIFF,0.019908496866998027
TROPT,0.019812683636838635
ALLSKY_SFC_SW_DIFF,0.019731295020826822
QV10M,0.0197296710316619
AIRMASS,0.019394843650343496
CLRSKY_SFC_SW_DNI,0.019342846553915827
T2MDEW,0.019297181202611924
U2M,0.019208854939881004
AOD_84,0.018719594945978635
WS50M_MIN,0.01870611183922888
WS2M_MIN,0.018438635066749143
CLRSKY_NKT,0.018373929352580864
ALLSKY_SFC_UVA,0.018166282437940717
ALLSKY_SFC_UVB,0.01756259642622582
CLRSKY_KT,0.015112576298117686
PRECTOTCORR,0.015074098020948945
tipo_de_vegetacion,0.014867113025452374
hora_deteccion,0.01457863991162478
SRF_ALB_ADJ,0.013387558059065885
ALLSKY_SRF_ALB,0.010919394389530712
mes,0.01053124928700866
CLRSKY_SRF_ALB,0.009988406561495244
tipo_de_incendio,0.009643375906611795
FRSNO,0.007904542237806567
coord_fuera_poligono,0.007328213927516147
fecha_termino_month,0.006508479282587132
fecha_termino_dayofweek,0.006309137679471721
fecha_inicio_month,0.005573343296843003
PRECSNO,0.005106610455115179
NDMI,0.005033247721773826
NDVI,0.004050988748566464
fecha_inicio_dayofweek,0.003276635221028279
FRSEAICE,0.002311035764365199
fecha_inicio_day,0.002060185305319484
CLRSKY_DAYS,0.0011872863673871858
HDD0,0.0011775078490032787
SNODP,0.0005186201723466066
FROST_DAYS,0.0003353958599157103
dia_semana,0.0
PRECSNOLAND,0.0
NDWI,0.0
TROPQ,0.0
fecha_termino_day,0.0
