variable,spearman
arbustivo,0.5348746381625353
herbaceo,0.5020386109077491
duracion_hhmm,0.39647280282205544
fecha_termino,0.2607368407944111
fecha_inicio,0.2602851145314247
anio,0.25456439727248764
renuevo,0.21493895832762105
T2M_MAX,0.1933688363813074
EVPTRNS,-0.19306606790933178
T10M_MAX,0.1902726418075973
TS_MAX,0.18592361079739703
RH2M,-0.18055245253558302
GWETTOP,-0.17456212264559387
TSOIL3,0.17208213660984442
TSOIL4,0.17084971867827758
ALLSKY_SFC_SW_UP,0.17053506552566605
TSOIL2,0.16886452656704368
TSOIL1,0.16544986286450808
CDD0,0.1624341087597313
T10M,0.1623724040862108
TSURF,0.16221690488002752
T2M,0.16062638225843903
TS,0.15809817181019215
TSOIL5,0.1580513702265351
EVLAND,-0.15490525280125517
CDD18_3,0.1548944788856087
CLOUD_OD,-0.15011255144302182
TSOIL6,0.1450479785631525
CLRSKY_SFC_SW_UP,0.14502943219737768
HDD18_3,-0.1416272714818505
SLP,-0.14135867634871532
TS_RANGE,0.14106254953642028
ALLSKY_SFC_SW_DWN,0.1347304039871629
PSH,0.13415508097038936
T10M_MIN,0.1329729795843347
T2M_MIN,0.1298395439882869
latitud,-0.12133481794320702
TS_MIN,0.1210185820377603
T10M_RANGE,0.12000402328773274
MIDDAY_INSOL,0.11950782653050383
T2M_RANGE,0.11811694061266337
ALLSKY_SFC_PAR_TOT,0.11611013274212038
ALLSKY_SFC_UVA,0.10849310478492209
SRF_ALB_ADJ,0.10764008435352708
ALLSKY_SRF_ALB,0.10726870954435529
WS50M_RANGE,0.10616152521454095
ALLSKY_SFC_SW_DIRH,0.10590180912822923
CLRSKY_SRF_ALB,0.10024818290387806
ORIGINAL_ALLSKY_SFC_SW_DIRH,0.09807826901803378
CLRSKY_SFC_LW_UP,0.0970938554087394
ALLSKY_SFC_LW_UP,0.0963063177921599
TO3,0.09253961617419708
TS_ADJ,0.09047903580507373
mes,0.08763158165378075
TOA_SW_DWN,0.08655163983521917
WD50M,0.08636304757939257
longitud,0.08634075887887477
TOA_SW_DNI,0.08583575540204315
ALLSKY_SFC_PAR_DIRH,0.08503960927426447
coord_fuera_poligono,0.08492028822977839
WS10M_RANGE,0.08445457656668279
ALLSKY_SFC_UVB,0.0833482125073845
CLRSKY_SFC_SW_DWN,0.08133370862805872
U50M,0.0796232537379593
ALLSKY_SFC_UV_INDEX,0.07898013340409608
T2MWET,0.07874824956282281
WS2M_RANGE,0.07770847813659056
V2M,0.076145914077846
WS50M_MAX,0.07495010741683701
CLRSKY_SFC_SW_DIRH,0.07444947920973638
CLOUD_AMT_DAY,-0.0727449569498641
U10M,0.07162417376815575
PS,0.07142592811766527
WS10M_MAX,0.07108106103192632
PBLTOP,0.06988168113026268
CLRSKY_SFC_PAR_TOT,0.06987239298199067
WD10M,0.06932425370867679
U2M,0.06774007136400549
ALLSKY_KT,0.06485839272455957
WS2M_MAX,0.06415442360950271
V10M,0.06346251936022874
WD2M,0.06188546225052549
CLRSKY_SFC_PAR_DIRH,0.05649750195398163
WS2M,0.0555823987511069
CLOUD_AMT,-0.054069493007961475
TROPQ,-0.05307682340446067
ALLSKY_SFC_SW_DNI,0.05297644634908929
NDWI,-0.04983326488526537
WS10M,0.049774587222874575
CLRSKY_SFC_SW_DIFF,0.04752475796095448
RHOA,0.04732346401503438
CLRSKY_DAYS,0.04660463398862454
PRECSNO,-0.04623317859685928
TROPPB,-0.04509880065791557
PRECTOTCORR,-0.04482750909331587
Z0M,-0.043424173338709876
DISPH,-0.04331513248786847
FROST_DAYS,-0.042893496550510016
WS50M_MIN,-0.042111086149772416
CLRSKY_SFC_PAR_DIFF,0.04180876332911582
V50M,0.04108056721408407
ALLSKY_NKT,0.038705775509237705
WS10M_MIN,-0.03692913834864404
WS2M_MIN,-0.036811209418681955
CLOUD_AMT_NIGHT,-0.034915547978860074
WS50M,0.03482278225122299
GWETROOT,-0.03353284276044988
PW,-0.032242351551717736
QV2M,-0.03096557089869151
GWETPROF,-0.02839786508999259
TROPT,-0.02715130884058306
CLRSKY_NKT,-0.02660337352494502
QV10M,-0.02434375092977146
AIRMASS,-0.023592381931766493
CLRSKY_SFC_SW_DNI,0.022678140836368058
SNODP,-0.020765030885016886
PRECSNOLAND,-0.01784601425188035
T2MDEW,-0.01723018714765359
pob_total,-0.017047033601455656
ALLSKY_SFC_SW_DIFF,0.0167075435539465
TQV,0.013988590290628856
dia_semana,-0.010604013867942444
NDMI,-0.009629992975255706
CLRSKY_SFC_LW_DWN,0.008692886885885787
ALLSKY_SFC_LW_DWN,-0.007513567355558982
AOD_55,-0.005641612186407092
AOD_55_ADJ,-0.005474728230733715
ORIGINAL_ALLSKY_SFC_SW_DIFF,-0.005088275952978153
CLRSKY_KT,0.004741827030731425
ALLSKY_SFC_PAR_DIFF,0.0028668931948665002
NDVI,0.0028090391859548606
AOD_84,-0.0018047058130745445
tipo_de_incendio,
causa,
causa_especifica,
tipo_de_vegetacion,
regimen_del_fuego,
nombre_municipio,
hora_deteccion,
hora_llegada,
FRSEAICE,
FRSNO,
HDD0,
